,uuid,name,brand,street,house_number,post_code,city,latitude,longitude
8408,9bc77a86-ef47-472d-87e3-b22d3eff1682,AVIA Tankstelle,AVIA,Schleißheimer Straße,28,85748,Garching b. München,48.250156,11.647158
8446,9c6921bc-6c3a-4123-8ea2-c1a2abed80bc,Aral Tankstelle,ARAL,Forstenrieder Straße,26,82061,Neuried,48.0914078,11.4682989
8500,9d938ecc-695f-4a97-9144-b49a8911c5ef,Grafing Münchenerstr. 30,OMV,Münchner Str.,30,85567,Grafing,48.04862,11.9668
8520,9df7845d-9133-4a8d-acc9-a5be7d1a0276,"STARNBERG, MUENCHNERSTR. 8.",Shell,MUENCHNER STR. 8,,82319,STARNBERG,48.002074,11.344671
8574,9f32a2f0-7ebc-4dcc-b8e3-48640824b30b,ALLGUTH GmbH  c/o Mehmet Catan,ALLGUTH,Am Neubruch,7,80997,München,48.192463,11.499939
8639,a07b7f50-6e6f-4e6e-9bce-17d79bf0778c,Bavaria Petrol,Bavaria Petrol,Zielstattstraße,10,81379,München,48.1032448,11.5334749
8656,a0e00e71-fa8e-4ad0-bd17-24c0e0baa6e5,Bavaria Petrol,Bavaria Petrol,Amalienburgstraße,20,81247,München,48.1643181,11.4885406
8680,a170c56a-ea2d-4e72-b424-f60d75181307,Gruber Landsham,Gruber Freie Tankstelle,Erdinger Straße,24,85652,Landsham,48.188352,11.77869
8684,a18c6171-3bb6-48d4-888f-5ba80d635c69,MOORENWEIS - TUERKENFELDER STR. 2,Agip,Tuerkenfelder Str.,2,82272,Moorenweis,48.14694,11.07282
8689,a19f90e5-c603-405c-9a28-c4c42cb3df3d,TOTAL FREISING,TOTAL,ACHERINGER HAUPTSTR.,20,85354,FREISING,48.3444,11.709186
8697,a1ccecb1-15e2-4015-830f-7686dbfaca64,Aral Tankstelle,ARAL,Elbestraße,23,82538,Geretsried,47.8804474,11.4608221
8727,a2c1cdd2-477c-41cd-b116-1cd3b4b3e17c,AVIA Tankstelle,AVIA,Münchner Straße,2,82057,Icking,47.95443,11.438482
8787,a415a4cf-c0e5-4cb0-933c-dbc54709de1a,Aral Tankstelle,ARAL,Erdinger Straße,25,85570,Markt Schwaben,48.1932755,11.8722677
8929,a76506bb-7ccf-4785-1066-f2c5d26bb900,Auto Loder GmbH,Freie Tankstelle Loder,Hauptstr.,1,85235,Odelzhausen,48.309734,11.193687
8977,a8c4085d-2b13-4ba0-81cb-1302d294860d,Herrsching Mühlfeldstr. 44,OMV,Mühlfelderstr.,44,82211,Herrsching,47.99379,11.17299
9045,aa2f7830-2c0a-4a37-803e-8824a8eef426,"FUERSTENFELDBRUCK, AUGSBURGER STR.",Shell,AUGSBURGER STR. 42,,82256,FUERSTENFELDBRUCK,48.186668,11.246658
9085,aa871caa-3b3d-4596-9ced-5d34eb3f1002,Aral Tankstelle,ARAL,Garmischer Straße,138,80686,München,48.12715,11.522233
9095,aab62468-53b6-4f24-995e-c76f98978d5a,Esso Tankstelle,ESSO,FREISINGER STR. 48, ,85416,LANGENBACH,48.434115,11.842232
9191,acb2997b-57aa-4d55-a71b-c9f7d8eef71c,MUENCHEN - VERDISTRASSE 141,Agip,Verdistrasse,141,81247,Muenchen,48.164472415704,11.459228666155
9264,aea76107-92ea-47ea-99ac-4c7fa1491fe8,Esso Tankstelle,ESSO,MUENCHENER STR. 20, ,83620,FELDKIRCHEN-WESTERHAM,47.910443,11.839795
9301,af9bbfb5-7320-414f-aa93-715dfd07182e,Aral Tankstelle,ARAL,Seefelder Straße,28,82211,Herrsching,48.00234,11.1818724
9432,b274766d-4551-4348-9ab7-ffce58ee469c,Esso Tankstelle,ESSO,WUERMTALSTR. 97, ,81375,MUENCHEN,48.114836,11.480826
9445,b2bd0354-a05a-4204-8690-7e5de9a0048b,ERDING - AM KLETTHAMER FELD 2,Agip,Am Kletthamer Feld,2,85435,Erding,48.309203,11.883366
9470,b3447f7a-f79a-4484-b71a-bc1486355046,Esso Tankstelle,ESSO,OTTOSTR. 19, ,85354,FREISING,48.398409,11.748021
9484,b3a9348f-8f05-4e21-b09a-0a8e1476640c,Aral Tankstelle,ARAL,Sauerlacher Straße,64,82515,Wolfratshausen,47.9139137,11.432373
9515,b457a782-e3d4-4513-a258-c4d3e199d79a,Esso Tankstelle,ESSO,WESTENDSTR. 183, ,80686,MUENCHEN,48.134186,11.523489
9574,b5a23cae-7eaf-4b4d-ae4e-88e57832eaa1,TOTAL FELDKIRCHEN,TOTAL,VATERSTETTEN WEST,A90,85622,VATERSTETTEN,48.1245,11.757973
9594,b617fc5f-e468-4238-b9ba-62bf07bbb027,MUENCHEN - HERTERICHSTRASSE 111,Agip,Herterichstrasse,111,81477,Muenchen,48.07513,11.51092
9595,b620d642-9cb8-4afd-a670-6f8c3227c5dd,"TUTZING, HAUPTSTR",Shell,HAUPTSTR. 9,,82327,TUTZING,47.905089,11.276288
